customer_id,first_name,last_name,email,phone,age,home_store,acquired_at,loyalty_enrolled,opt_in_email,opt_in_sms,opt_in_push,annual_spend,lifetime_spend,visits_90d,last_visit,avg_basket,tier,churn_risk,rising_star,decliner,near_platinum,vip_likely,favorite_category,category_diversity
GST-00018,Taylor,Kim,taylor.kim17@icloud.com,(233) 239-3927,42,Oak Island Pier House,2024-11-17,true,true,false,true,1018.38,2205.28,0,2025-09-21,551.32,Gold,0.86,false,false,false,false,Lodging,4
GST-00019,Sloan,Bell,sloan.bell18@gmail.com,(810) 324-7426,50,Cape Fear Inn,2025-06-17,true,true,true,true,7280.87,13276.47,3,2026-04-23,379.33,Platinum,0.314,false,false,false,false,Lodging,8
GST-00020,Quinn,Wright,quinn.wright19@gmail.com,(885) 845-5388,33,Carolina Beach Tavern,2026-05-17,true,true,false,false,1655.83,3156.51,3,2026-04-03,210.43,Gold,0.546,false,false,false,false,Dining,3
GST-00021,Justice,Carter,justice.carter20@outlook.com,(729) 888-1631,52,Oak Island Pier House,2024-04-17,true,true,true,false,1002.27,1254.44,0,2025-10-02,418.15,Gold,0.86,false,false,false,false,Lodging,2
GST-00022,Eden,Bell,eden.bell21@icloud.com,(638) 642-3143,28,Wrightsville Beach Resort,2026-01-17,true,false,true,false,100.24,993.76,0,2026-01-19,248.44,Silver,0.88,true,true,false,false,Lodging,3
GST-00023,Justice,Patel,justice.patel22@icloud.com,(897) 493-2330,38,Oak Island Pier House,2024-03-17,true,false,false,false,3341.22,9841.27,2,2026-04-17,468.63,Platinum,0.41,false,false,false,false,Lodging,8
GST-00024,Harper,Nguyen,harper.nguyen23@icloud.com,(526) 893-2762,21,Cape Fear Inn,2024-08-17,true,true,true,true,954.39,2097.39,2,2026-04-16,299.63,Silver,0.416,true,false,false,false,Lodging,4
GST-00025,Riley,Cole,riley.cole24@icloud.com,(327) 216-7478,33,Oak Island Pier House,2026-02-17,true,true,false,true,1437.74,2670.86,1,2026-02-24,445.14,Gold,0.748,false,false,false,false,Lodging,3
GST-00026,Wren,Vargas,wren.vargas25@icloud.com,(465) 727-8744,38,Kure Beach Grill,2026-03-17,false,true,true,false,972.17,1775.36,1,2026-02-25,221.92,Silver,0.795,false,false,false,false,Dining,3
GST-00027,Drew,Foster,drew.foster26@yahoo.com,(978) 943-4382,40,Cape Fear Inn,2026-04-17,true,true,false,true,5076.68,5882.92,8,2026-04-24,309.63,Platinum,0.116,false,false,false,false,Lodging,7
GST-00028,Logan,Hunter,logan.hunter27@gmail.com,(830) 280-7984,29,Kure Beach Grill,2024-11-17,true,false,false,false,758.94,2205.1,1,2026-02-20,183.76,Silver,0.829,false,false,false,false,Dining,4
GST-00029,Sage,Whitaker,sage.whitaker28@yahoo.com,(900) 410-4790,34,Cape Fear Inn,2026-02-17,true,true,false,false,1139.77,3293.96,1,2026-03-22,411.75,Gold,0.612,false,false,false,false,Lodging,6
GST-00030,River,Nguyen,river.nguyen29@proton.me,(796) 893-2464,42,Kure Beach Grill,2024-04-17,false,true,true,true,1636.15,2711.28,0,2026-01-02,180.75,Gold,0.92,false,false,false,false,Dining,3
GST-00031,Ari,Rivera,ari.rivera30@icloud.com,(630) 520-8184,41,Wrightsville Beach Resort,2024-03-17,true,true,true,false,759.21,2659.77,0,2025-12-08,332.47,Silver,0.88,true,true,false,false,Lodging,6
GST-00032,Sage,Reed,sage.reed31@outlook.com,(867) 952-8012,44,Southport Waterfront Lodge,2023-12-17,true,true,false,false,2420.47,3321.9,0,2025-12-22,415.24,Gold,0.84,false,false,false,true,Spa,5
GST-00033,Phoenix,Lee,phoenix.lee32@yahoo.com,(264) 249-4674,47,Brunswick Harbor Hotel,2024-06-17,true,true,true,false,3565.72,5311.98,0,2025-11-12,442.67,Platinum,0.88,false,false,false,false,Lodging,7
GST-00034,Hayden,Hunter,hayden.hunter33@icloud.com,(504) 752-5740,61,Bald Head Island Club,2024-05-17,false,false,true,true,1980.92,5470.69,0,2025-11-24,341.92,Gold,0.8,false,false,false,true,Spa,6
GST-00035,Sloan,Daniels,sloan.daniels34@outlook.com,(605) 409-3987,40,Cape Fear Inn,2025-10-17,true,true,false,false,2327.31,2979.15,1,2026-04-27,595.83,Gold,0.422,false,false,false,false,Lodging,3
GST-00036,Drew,Cole,drew.cole35@proton.me,(494) 990-6479,31,Carolina Beach Tavern,2024-05-17,false,true,false,true,341.75,741.7,0,2025-11-14,148.34,Silver,0.99,false,true,false,false,Dining,2
GST-00037,Sloan,Collins,sloan.collins36@gmail.com,(637) 567-8666,37,Brunswick Harbor Hotel,2025-03-17,true,false,false,false,0,824.79,0,2024-10-03,274.93,Silver,0.88,false,false,false,false,Lodging,3
GST-00038,Riley,Patel,riley.patel37@outlook.com,(351) 288-4052,53,Wrightsville Beach Resort,2025-08-17,true,true,false,false,2321.34,4087.64,1,2026-03-13,314.43,Gold,0.674,false,false,false,false,Lodging,6
GST-00039,Marlowe,Collins,marlowe.collins38@gmail.com,(769) 932-8907,56,Wrightsville Beach Resort,2024-07-17,true,false,false,false,4014.37,6866.83,2,2026-04-19,381.49,Platinum,0.409,false,false,false,false,Lodging,7
GST-00040,Cameron,Park,cameron.park39@proton.me,(269) 731-3081,53,Cape Fear Inn,2024-03-17,true,false,false,false,861.92,1749.52,0,2025-08-09,437.38,Silver,0.86,true,false,false,false,Lodging,3
GST-00041,Hayden,Kim,hayden.kim40@gmail.com,(757) 744-3866,36,Carolina Beach Tavern,2024-08-17,false,false,false,false,785,3181.17,0,2025-12-20,227.23,Silver,0.99,false,true,false,false,Dining,4
GST-00042,Morgan,Knox,morgan.knox41@gmail.com,(641) 865-6138,44,Wrightsville Beach Resort,2023-11-17,true,true,false,true,3458.04,4630.16,2,2026-04-24,463.02,Platinum,0.382,false,false,false,false,Lodging,6
GST-00043,Morgan,Kim,morgan.kim42@proton.me,(262) 234-4501,47,Cape Fear Inn,2025-11-17,true,true,true,true,2695.28,4860.92,2,2026-04-11,324.06,Gold,0.442,false,false,true,false,Lodging,7
GST-00044,Skyler,Walsh,skyler.walsh43@icloud.com,(874) 288-1939,63,Wrightsville Beach Resort,2024-05-17,true,true,false,true,2236.19,4570.06,1,2026-03-18,415.46,Gold,0.647,false,false,false,false,Lodging,6
GST-00045,Justice,Kim,justice.kim44@gmail.com,(797) 976-8408,21,Southport Waterfront Lodge,2024-09-17,true,true,true,false,8509.56,16395.89,4,2026-04-22,298.11,Platinum,0.249,false,false,false,true,Spa,7
GST-00046,Taylor,Brooks,taylor.brooks45@yahoo.com,(847) 547-9743,28,Kure Beach Grill,2026-01-17,false,true,false,false,479.12,1716.13,0,2026-01-09,156.01,Silver,0.92,false,false,false,false,Dining,3
GST-00047,Rowan,Hawthorne,rowan.hawthorne46@icloud.com,(910) 236-7748,60,Southport Waterfront Lodge,2024-01-17,true,true,false,false,1777.23,2631.08,1,2026-04-24,375.87,Gold,0.433,false,false,false,true,Spa,3
GST-00048,Avery,Vargas,avery.vargas47@yahoo.com,(950) 492-6698,26,Southport Waterfront Lodge,2025-09-17,false,true,false,false,1584,4384.35,1,2026-02-20,337.26,Gold,0.756,false,false,false,true,Spa,6
GST-00049,Skyler,Nguyen,skyler.nguyen48@gmail.com,(508) 764-6971,51,Kure Beach Grill,2025-06-17,false,true,false,true,2172.17,2730.88,2,2026-04-23,170.68,Gold,0.405,false,false,false,false,Dining,4
GST-00050,Skyler,Daniels,skyler.daniels49@yahoo.com,(310) 205-8912,51,Wrightsville Beach Resort,2025-03-17,true,true,false,false,926.98,3228.27,0,2026-01-12,358.7,Silver,0.88,true,false,false,false,Lodging,6
GST-00051,Jordan,Patel,jordan.patel50@yahoo.com,(722) 488-8155,46,Southport Waterfront Lodge,2024-05-17,true,true,false,true,10717.56,21043.62,8,2026-04-22,344.98,Platinum,0.123,false,false,false,true,Spa,7
GST-00052,Marlowe,Daniels,marlowe.daniels51@yahoo.com,(982) 685-6271,31,Oak Island Pier House,2025-04-17,true,false,false,false,9714.44,26499.68,1,2026-02-26,420.63,Platinum,0.738,false,false,false,false,Lodging,8
GST-00053,Phoenix,Brooks,phoenix.brooks52@gmail.com,(738) 580-4341,45,Brunswick Harbor Hotel,2023-11-17,true,true,false,true,492.57,1193,1,2026-02-26,298.25,Silver,0.76,false,false,false,false,Dining,5
GST-00054,Jules,Larsson,jules.larsson53@outlook.com,(764) 482-6667,52,Wrightsville Beach Resort,2024-08-17,true,true,false,false,861.86,2293.25,0,2025-12-20,382.21,Silver,0.88,true,true,false,false,Lodging,5
GST-00055,Jules,Bennett,jules.bennett54@proton.me,(717) 387-4615,47,Brunswick Harbor Hotel,2026-01-17,true,false,false,false,698.93,1645.95,0,2026-01-27,274.32,Silver,0.88,false,false,false,false,Dining,4
GST-00056,Finley,Larsson,finley.larsson55@gmail.com,(740) 361-8153,41,Southport Waterfront Lodge,2025-06-17,true,true,false,false,627.28,3079.51,0,2025-12-26,342.17,Silver,0.84,false,false,false,false,Spa,6
GST-00057,Sage,Knox,sage.knox56@outlook.com,(676) 268-3452,50,Brunswick Harbor Hotel,2025-12-17,true,true,false,true,671.36,1195.16,0,2025-06-26,597.58,Silver,0.88,false,false,false,false,Lodging,4
GST-00058,Sloan,Bell,sloan.bell57@gmail.com,(496) 483-9620,33,Wrightsville Beach Resort,2025-12-17,true,true,true,true,2644.07,4087,3,2026-04-25,340.58,Gold,0.311,false,false,false,false,Lodging,6
GST-00059,Justice,Nguyen,justice.nguyen58@proton.me,(709) 755-4033,46,Brunswick Harbor Hotel,2025-05-17,true,true,false,false,1445.15,2128.48,1,2026-03-19,425.7,Gold,0.642,false,false,false,false,Lodging,4
GST-00060,Eden,Bennett,eden.bennett59@icloud.com,(316) 754-6597,43,Kure Beach Grill,2024-08-17,true,true,false,true,1119.98,1792.18,0,2025-12-19,162.93,Gold,0.92,false,false,false,false,Dining,3
GST-00061,Sloan,Simmons,sloan.simmons60@outlook.com,(489) 423-3569,21,Kure Beach Grill,2024-06-17,true,true,true,true,724.57,1557.53,0,2026-01-26,194.69,Silver,0.92,false,false,false,false,Dining,3
GST-00062,Phoenix,Mitchell,phoenix.mitchell61@gmail.com,(307) 762-1901,26,Cape Fear Inn,2024-12-17,true,true,false,false,615.17,615.17,0,2025-06-12,615.17,Silver,0.86,true,false,false,false,Lodging,1
GST-00063,Harper,Reed,harper.reed62@yahoo.com,(767) 821-5249,61,Cape Fear Inn,2025-12-17,true,false,false,true,3450.78,7383.88,4,2026-04-24,335.63,Platinum,0.25,false,false,false,false,Lodging,7
GST-00064,Rowan,Patel,rowan.patel63@gmail.com,(614) 783-1448,47,Cape Fear Inn,2026-05-17,true,true,false,true,1864.41,3844.69,1,2026-03-26,427.19,Gold,0.591,false,false,false,false,Lodging,8
GST-00065,Rowan,Garcia,rowan.garcia64@icloud.com,(421) 282-8869,56,Cape Fear Inn,2025-12-17,true,true,false,false,859.26,1147.41,0,2025-05-28,573.7,Silver,0.86,true,false,false,false,Lodging,3
GST-00066,Marlowe,Wright,marlowe.wright65@gmail.com,(273) 657-9129,41,Oak Island Pier House,2024-07-17,true,true,false,false,882.72,3125.18,1,2026-02-17,347.24,Silver,0.785,false,false,false,false,Lodging,6
GST-00067,Rowan,Kim,rowan.kim66@yahoo.com,(652) 970-5804,41,Cape Fear Inn,2025-07-17,true,false,false,true,3761.54,8335.4,3,2026-04-11,396.92,Platinum,0.377,false,false,false,false,Lodging,5
GST-00068,Drew,Bell,drew.bell67@icloud.com,(922) 925-1849,50,Kure Beach Grill,2024-07-17,true,true,true,true,86.77,452.64,0,2025-09-26,113.16,Silver,0.92,false,false,false,false,Dining,2
GST-00069,Sage,Kim,sage.kim68@icloud.com,(593) 967-3538,51,Kure Beach Grill,2026-03-17,true,false,true,true,1196.05,2834,2,2026-04-15,218,Gold,0.45,false,false,false,false,Dining,4
GST-00070,Casey,Simmons,casey.simmons69@yahoo.com,(904) 983-9157,21,Cape Fear Inn,2025-08-17,true,true,false,false,1851.22,2715.38,3,2026-04-11,339.42,Gold,0.377,false,false,false,false,Lodging,5
GST-00071,Logan,Lee,logan.lee70@gmail.com,(835) 773-5315,30,Brunswick Harbor Hotel,2024-12-17,true,false,true,false,0,518.42,0,2024-06-23,518.42,Silver,0.88,false,false,false,false,Lodging,3
GST-00072,Wren,Bell,wren.bell71@yahoo.com,(598) 425-5587,30,Brunswick Harbor Hotel,2025-10-17,true,true,false,false,1356.29,2199.46,1,2026-04-01,314.21,Gold,0.572,false,false,false,false,Lodging,4
GST-00073,Skyler,Simmons,skyler.simmons72@icloud.com,(903) 532-2328,32,Kure Beach Grill,2025-06-17,true,true,false,false,383.07,1924.92,0,2026-01-04,174.99,Silver,0.92,false,false,false,false,Dining,3
GST-00074,Marlowe,Larsson,marlowe.larsson73@proton.me,(399) 789-7515,53,Wrightsville Beach Resort,2025-03-17,true,true,false,true,1383.05,4706.83,0,2025-12-27,392.24,Gold,0.88,false,false,false,false,Lodging,7
GST-00075,Cameron,Reed,cameron.reed74@icloud.com,(798) 511-5044,38,Southport Waterfront Lodge,2024-12-17,true,false,false,false,0,928.04,0,2025-01-10,232.01,Silver,0.84,false,false,false,false,Spa,3
GST-00076,Morgan,Lee,morgan.lee75@outlook.com,(349) 637-3781,45,Bald Head Island Club,2026-05-17,true,false,true,true,1553.44,1632.27,0,2026-02-09,408.07,Gold,0.8,false,false,false,true,Lodging,4
GST-00077,Emerson,Foster,emerson.foster76@yahoo.com,(234) 864-4805,46,Southport Waterfront Lodge,2025-07-17,true,true,false,true,3824.93,8407.21,4,2026-04-11,300.26,Platinum,0.306,false,false,false,true,Spa,6
GST-00078,Sage,Hayes,sage.hayes77@proton.me,(942) 617-4614,56,Brunswick Harbor Hotel,2024-10-17,true,true,true,false,1215.52,2102.15,0,2026-01-02,350.36,Gold,0.88,false,false,false,false,Dining,5
GST-00079,Eden,Walsh,eden.walsh78@proton.me,(766) 788-7102,35,Holden Beach Pavilion,2023-12-17,false,true,false,true,0,785.12,0,2024-09-04,785.12,Silver,0.95,false,false,false,false,Events,2
GST-00080,Drew,Bennett,drew.bennett79@proton.me,(982) 491-6495,39,Cape Fear Inn,2025-01-17,true,false,true,false,0,558.63,0,2024-12-20,186.21,Silver,0.86,true,false,false,false,Dining,3
GST-00081,Briar,Mitchell,briar.mitchell80@proton.me,(482) 361-2773,26,Brunswick Harbor Hotel,2026-01-17,true,true,false,true,941.03,2696.83,0,2025-11-22,385.26,Silver,0.88,false,false,false,false,Lodging,5
GST-00082,Casey,Foster,casey.foster81@proton.me,(702) 525-4191,52,Wrightsville Beach Resort,2025-04-17,true,true,false,true,275.97,275.97,0,2025-08-10,275.97,Silver,0.88,true,true,false,false,Events,2
GST-00083,Jules,Brooks,jules.brooks82@outlook.com,(287) 564-1653,34,Kure Beach Grill,2025-04-17,false,true,true,false,1952.54,3251.42,2,2026-04-02,180.63,Gold,0.523,false,false,false,false,Dining,4
GST-00084,Ari,Kim,ari.kim83@yahoo.com,(519) 330-7630,27,Southport Waterfront Lodge,2024-09-17,false,false,false,false,425.01,1240.61,0,2025-08-21,413.54,Silver,0.84,false,false,false,false,Spa,2
GST-00085,Eden,Sutton,eden.sutton84@icloud.com,(317) 222-9032,32,Wrightsville Beach Resort,2025-10-17,true,false,false,true,1202.39,2077.97,0,2025-12-17,230.89,Gold,0.88,false,true,false,false,Dining,6
GST-00086,Justice,Carter,justice.carter85@proton.me,(864) 284-8926,44,Wrightsville Beach Resort,2026-02-17,true,true,true,true,4403.67,8868.77,2,2026-04-24,422.32,Platinum,0.382,false,false,false,false,Lodging,7
GST-00087,Skyler,Hunter,skyler.hunter86@outlook.com,(496) 818-9007,49,Southport Waterfront Lodge,2024-01-17,true,true,true,false,250.33,1105.75,1,2026-04-15,276.44,Silver,0.479,false,false,false,false,Spa,2
GST-00088,Drew,Carter,drew.carter87@proton.me,(437) 843-5431,39,Cape Fear Inn,2026-05-17,true,true,false,false,4022.85,7467.11,2,2026-04-03,439.24,Platinum,0.484,false,false,false,false,Lodging,7
GST-00089,Parker,Rhodes,parker.rhodes88@icloud.com,(389) 399-2554,68,Bald Head Island Club,2025-03-17,true,true,true,false,977.75,2052.35,0,2026-02-06,342.06,Silver,0.8,false,false,false,false,Lodging,6
GST-00090,Logan,Walsh,logan.walsh89@proton.me,(685) 310-3698,45,Kure Beach Grill,2025-03-17,true,true,false,false,1000.86,2145.3,2,2026-04-20,178.78,Gold,0.428,false,false,false,false,Dining,3
GST-00091,Casey,Collins,casey.collins90@icloud.com,(924) 559-2063,64,Cape Fear Inn,2025-03-17,true,true,false,true,4085.13,6360.14,4,2026-04-21,424.01,Platinum,0.26,false,false,false,false,Lodging,7
GST-00092,Lennon,Lee,lennon.lee91@proton.me,(712) 675-8977,52,Oak Island Pier House,2024-09-17,true,true,true,false,215.63,913.55,0,2025-07-19,228.39,Silver,0.86,false,false,false,false,Dining,5
GST-00093,Taylor,Sutton,taylor.sutton92@gmail.com,(344) 816-8710,42,Cape Fear Inn,2024-11-17,true,true,true,true,3948.74,5409.28,0,2026-01-13,338.08,Platinum,0.86,false,false,false,false,Lodging,7
GST-00094,Drew,Hayes,drew.hayes93@proton.me,(375) 944-5791,48,Kure Beach Grill,2025-02-17,false,false,false,false,451.4,1223.91,0,2025-11-23,135.99,Silver,0.92,false,false,false,false,Dining,2
GST-00095,Cameron,Reed,cameron.reed94@gmail.com,(449) 592-8817,30,Carolina Beach Tavern,2025-11-17,true,true,false,true,431.24,1887.62,0,2026-01-02,157.3,Silver,0.99,false,false,false,false,Dining,2
GST-00096,Jules,Daniels,jules.daniels95@yahoo.com,(490) 693-2609,69,Holden Beach Pavilion,2024-12-17,true,true,false,true,478.6,2428.27,0,2025-07-05,607.07,Silver,0.95,false,false,false,false,Events,3
GST-00097,Avery,Knox,avery.knox96@gmail.com,(731) 381-1730,49,Brunswick Harbor Hotel,2025-06-17,true,true,false,false,493.45,853.44,1,2026-04-24,284.48,Silver,0.448,false,false,false,false,Dining,3
GST-00098,Jules,Carter,jules.carter97@outlook.com,(539) 797-4119,31,Carolina Beach Tavern,2025-08-17,true,true,true,false,3641.51,10881.95,0,2026-01-22,170.03,Platinum,0.99,false,false,false,false,Dining,4
GST-00099,Taylor,Brooks,taylor.brooks98@icloud.com,(425) 393-2668,33,Carolina Beach Tavern,2024-11-17,false,true,true,true,398.83,2467.95,0,2025-10-17,176.28,Silver,0.99,false,true,false,false,Bar,4
GST-00100,Quinn,Vargas,quinn.vargas99@icloud.com,(728) 216-4029,36,Kure Beach Grill,2025-05-17,true,true,false,true,916.11,1142.64,1,2026-02-26,190.44,Silver,0.789,false,false,false,false,Bar,3
GST-00101,Eden,Mitchell,eden.mitchell0@yahoo.com,(607) 720-2310,50,Oak Island Pier House,2025-03-17,true,true,false,false,2453.76,3622.75,2,2026-04-02,452.84,Gold,0.489,false,false,false,false,Lodging,6
GST-00102,Jordan,Patel,jordan.patel1@proton.me,(734) 536-7034,21,Carolina Beach Tavern,2024-04-17,true,true,false,false,733.14,1861.03,1,2026-03-13,169.18,Silver,0.858,false,false,false,false,Dining,3
GST-00103,Parker,Collins,parker.collins2@icloud.com,(339) 779-3046,41,Kure Beach Grill,2024-08-17,true,true,true,false,1353.08,1458.97,0,2026-01-08,243.16,Gold,0.92,false,false,false,false,Dining,3
GST-00104,Marlowe,Walsh,marlowe.walsh3@icloud.com,(792) 206-1337,30,Wrightsville Beach Resort,2024-09-17,true,true,false,true,3016.98,8119.46,0,2025-12-01,353.02,Platinum,0.88,false,false,false,false,Lodging,7
GST-00105,Hayden,Hunter,hayden.hunter4@gmail.com,(253) 689-3868,56,Bald Head Island Club,2026-01-17,true,true,true,true,1010.21,2333.33,1,2026-03-14,333.33,Gold,0.608,false,false,false,true,Lodging,5
GST-00106,Lennon,Vargas,lennon.vargas5@proton.me,(772) 256-2157,55,Brunswick Harbor Hotel,2026-04-17,true,true,true,true,2616.01,4215.41,0,2025-12-09,383.22,Gold,0.88,false,false,false,false,Lodging,7
GST-00107,Marlowe,Mitchell,marlowe.mitchell6@gmail.com,(594) 826-6364,48,Oak Island Pier House,2026-01-17,true,false,true,true,2402.12,2594.83,1,2026-02-25,432.47,Gold,0.743,false,false,false,false,Lodging,5
GST-00108,Wren,Murphy,wren.murphy7@outlook.com,(436) 907-8784,33,Carolina Beach Tavern,2026-03-17,false,true,false,false,1058.19,2416.91,0,2025-11-13,268.55,Gold,0.99,false,true,false,false,Dining,4
GST-00109,Finley,Park,finley.park8@yahoo.com,(340) 577-3274,63,Kure Beach Grill,2026-03-17,false,true,false,false,555.55,1353.88,2,2026-04-23,135.39,Silver,0.405,false,false,false,false,Dining,2
GST-00110,Casey,Reed,casey.reed9@proton.me,(830) 424-9137,63,Holden Beach Pavilion,2024-03-17,false,false,false,false,3961.67,11198.52,2,2026-04-25,447.94,Platinum,0.407,false,false,false,false,Events,5
GST-00111,Harper,Daniels,harper.daniels10@outlook.com,(720) 903-5274,64,Brunswick Harbor Hotel,2024-06-17,true,true,false,true,2244.96,5942.64,0,2026-02-01,371.42,Gold,0.88,false,false,false,false,Lodging,7
GST-00112,Taylor,Foster,taylor.foster11@outlook.com,(935) 581-7075,31,Holden Beach Pavilion,2025-10-17,true,true,true,false,695.75,695.75,0,2025-05-27,695.75,Silver,0.95,false,false,false,false,Events,2
GST-00113,Morgan,Kim,morgan.kim12@gmail.com,(638) 770-1093,44,Wrightsville Beach Resort,2024-09-17,true,true,false,true,1136.27,2424.02,0,2026-02-04,269.34,Gold,0.88,false,false,false,false,Lodging,5
GST-00114,Indigo,Knox,indigo.knox13@yahoo.com,(276) 201-1672,22,Carolina Beach Tavern,2026-03-17,false,false,false,true,1468.75,2635.61,1,2026-03-27,202.74,Gold,0.769,false,false,false,false,Dining,2
GST-00115,Casey,Knox,casey.knox14@gmail.com,(552) 508-1818,49,Wrightsville Beach Resort,2026-05-17,true,true,true,false,2657.8,3027.18,0,2025-12-10,378.4,Gold,0.88,false,false,false,false,Lodging,7
GST-00116,Eden,Park,eden.park15@gmail.com,(551) 811-3780,48,Oak Island Pier House,2026-01-17,false,false,false,false,1463.34,2199.72,0,2025-08-25,366.62,Gold,0.86,false,false,false,false,Lodging,6
GST-00117,River,Sutton,river.sutton16@proton.me,(837) 641-3792,69,Wrightsville Beach Resort,2024-09-17,true,false,true,true,1553.35,2447.49,0,2025-10-02,349.64,Gold,0.88,false,true,false,false,Lodging,5
GST-00118,Riley,Walsh,riley.walsh17@proton.me,(372) 711-6495,37,Wrightsville Beach Resort,2025-09-17,false,true,false,false,804.89,2621.03,0,2025-07-10,524.21,Silver,0.88,true,true,false,false,Lodging,5
GST-00119,Eden,Park,eden.park18@gmail.com,(550) 602-1512,33,Brunswick Harbor Hotel,2025-06-17,true,true,true,true,1234.81,2186.37,0,2025-09-05,437.27,Gold,0.88,false,false,false,false,Lodging,4
GST-00120,Briar,Murphy,briar.murphy19@gmail.com,(612) 978-7844,36,Carolina Beach Tavern,2024-10-17,true,true,false,false,945.44,2743.93,2,2026-04-28,152.44,Silver,0.459,false,false,false,false,Dining,3
GST-00121,Harper,Kim,harper.kim20@icloud.com,(922) 376-7995,53,Cape Fear Inn,2025-07-17,true,true,false,true,505.69,2884.99,1,2026-04-12,262.27,Silver,0.501,true,false,false,false,Dining,8
GST-00122,Sage,Patel,sage.patel21@yahoo.com,(267) 572-9276,25,Brunswick Harbor Hotel,2026-05-17,true,true,true,false,3722.12,7577.05,2,2026-04-20,329.44,Platinum,0.404,false,false,false,false,Lodging,6
